# This file contains information about the (sequence of) observations in the directory with the same name. 
# Its format is: 
# [Observation_id] [sensor_label] [sensor_pose_x] [sensor_pose_y] [sensor_pose_z] [sensor_pose_yaw] [sensor_pose_pitch] [sensor_pose_roll] [time-stamp] 
# Units for the sensor pose are meters and radians. The tiem-stamp holds the the number of 100-nanosecond intervals since January 1, 1601 (UTC). 
1 HOKUYO1 0.205 0 0.31 0 -0 0 130985622000461380
2 HOKUYO1 0.205 0 0.31 0 -0 0 130985622001553382
3 HOKUYO1 0.205 0 0.31 0 -0 0 130985622002489383
4 HOKUYO1 0.205 0 0.31 0 -0 0 130985622003581385
5 HOKUYO1 0.205 0 0.31 0 -0 0 130985622004517387
6 HOKUYO1 0.205 0 0.31 0 -0 0 130985622005453389
7 HOKUYO1 0.205 0 0.31 0 -0 0 130985622006545390
8 HOKUYO1 0.205 0 0.31 0 -0 0 130985622007481392
9 HOKUYO1 0.205 0 0.31 0 -0 0 130985622008573394
10 HOKUYO1 0.205 0 0.31 0 -0 0 130985622009509396
11 HOKUYO1 0.205 0 0.31 0 -0 0 130985622010601398
12 HOKUYO1 0.205 0 0.31 0 -0 0 130985622011611398
13 HOKUYO1 0.205 0 0.31 0 -0 0 130985622012611398
14 HOKUYO1 0.205 0 0.31 0 -0 0 130985622013621398
15 HOKUYO1 0.205 0 0.31 0 -0 0 130985622014631398
16 HOKUYO1 0.205 0 0.31 0 -0 0 130985622015641398
17 HOKUYO1 0.205 0 0.31 0 -0 0 130985622016651398
18 HOKUYO1 0.205 0 0.31 0 -0 0 130985622017661398
19 HOKUYO1 0.205 0 0.31 0 -0 0 130985622018661398
20 HOKUYO1 0.205 0 0.31 0 -0 0 130985622019671398
21 HOKUYO1 0.205 0 0.31 0 -0 0 130985622020681398
22 HOKUYO1 0.205 0 0.31 0 -0 0 130985622021691398
23 HOKUYO1 0.205 0 0.31 0 -0 0 130985622022701398
24 HOKUYO1 0.205 0 0.31 0 -0 0 130985622023711398
25 HOKUYO1 0.205 0 0.31 0 -0 0 130985622024711398
26 HOKUYO1 0.205 0 0.31 0 -0 0 130985622025721398
27 HOKUYO1 0.205 0 0.31 0 -0 0 130985622026731398
28 HOKUYO1 0.205 0 0.31 0 -0 0 130985622027741398
29 HOKUYO1 0.205 0 0.31 0 -0 0 130985622028751398
30 HOKUYO1 0.205 0 0.31 0 -0 0 130985622029751398
31 HOKUYO1 0.205 0 0.31 0 -0 0 130985622030761398
32 HOKUYO1 0.205 0 0.31 0 -0 0 130985622031771398
33 HOKUYO1 0.205 0 0.31 0 -0 0 130985622032781398
34 HOKUYO1 0.205 0 0.31 0 -0 0 130985622033791398
35 HOKUYO1 0.205 0 0.31 0 -0 0 130985622034791398
36 HOKUYO1 0.205 0 0.31 0 -0 0 130985622035801398
37 HOKUYO1 0.205 0 0.31 0 -0 0 130985622036811398
38 HOKUYO1 0.205 0 0.31 0 -0 0 130985622037821398
39 HOKUYO1 0.205 0 0.31 0 -0 0 130985622038831398
40 HOKUYO1 0.205 0 0.31 0 -0 0 130985622039831398
41 HOKUYO1 0.205 0 0.31 0 -0 0 130985622040841398
42 HOKUYO1 0.205 0 0.31 0 -0 0 130985622041851398
43 HOKUYO1 0.205 0 0.31 0 -0 0 130985622042861398
44 HOKUYO1 0.205 0 0.31 0 -0 0 130985622043871398
45 HOKUYO1 0.205 0 0.31 0 -0 0 130985622044881398
46 HOKUYO1 0.205 0 0.31 0 -0 0 130985622045881398
47 HOKUYO1 0.205 0 0.31 0 -0 0 130985622046891398
48 HOKUYO1 0.205 0 0.31 0 -0 0 130985622047901398
49 HOKUYO1 0.205 0 0.31 0 -0 0 130985622048911398
50 HOKUYO1 0.205 0 0.31 0 -0 0 130985622049921398
51 HOKUYO1 0.205 0 0.31 0 -0 0 130985622050921398
52 HOKUYO1 0.205 0 0.31 0 -0 0 130985622051931398
53 HOKUYO1 0.205 0 0.31 0 -0 0 130985622052941398
54 HOKUYO1 0.205 0 0.31 0 -0 0 130985622053951398
55 HOKUYO1 0.205 0 0.31 0 -0 0 130985622054961398
56 HOKUYO1 0.205 0 0.31 0 -0 0 130985622055961398
57 HOKUYO1 0.205 0 0.31 0 -0 0 130985622056971398
58 HOKUYO1 0.205 0 0.31 0 -0 0 130985622057981398
59 HOKUYO1 0.205 0 0.31 0 -0 0 130985622058991398
60 HOKUYO1 0.205 0 0.31 0 -0 0 130985622060001398
61 HOKUYO1 0.205 0 0.31 0 -0 0 130985622061001398
62 HOKUYO1 0.205 0 0.31 0 -0 0 130985622062011398
63 HOKUYO1 0.205 0 0.31 0 -0 0 130985622063021398
64 HOKUYO1 0.205 0 0.31 0 -0 0 130985622064031398
65 HOKUYO1 0.205 0 0.31 0 -0 0 130985622065041398
66 HOKUYO1 0.205 0 0.31 0 -0 0 130985622066041398
67 HOKUYO1 0.205 0 0.31 0 -0 0 130985622067051398
68 HOKUYO1 0.205 0 0.31 0 -0 0 130985622068061398
69 HOKUYO1 0.205 0 0.31 0 -0 0 130985622069071398
70 HOKUYO1 0.205 0 0.31 0 -0 0 130985622070071398
71 HOKUYO1 0.205 0 0.31 0 -0 0 130985622071081398
72 HOKUYO1 0.205 0 0.31 0 -0 0 130985622072091398
73 HOKUYO1 0.205 0 0.31 0 -0 0 130985622073101398
74 HOKUYO1 0.205 0 0.31 0 -0 0 130985622074111398
75 HOKUYO1 0.205 0 0.31 0 -0 0 130985622075121398
76 HOKUYO1 0.205 0 0.31 0 -0 0 130985622076121398
77 HOKUYO1 0.205 0 0.31 0 -0 0 130985622077131398
78 HOKUYO1 0.205 0 0.31 0 -0 0 130985622078141398
79 HOKUYO1 0.205 0 0.31 0 -0 0 130985622079151398
80 HOKUYO1 0.205 0 0.31 0 -0 0 130985622080151398
81 HOKUYO1 0.205 0 0.31 0 -0 0 130985622081161398
82 HOKUYO1 0.205 0 0.31 0 -0 0 130985622082171398
83 HOKUYO1 0.205 0 0.31 0 -0 0 130985622083181398
84 HOKUYO1 0.205 0 0.31 0 -0 0 130985622084191398
85 HOKUYO1 0.205 0 0.31 0 -0 0 130985622085201398
86 HOKUYO1 0.205 0 0.31 0 -0 0 130985622086201398
87 HOKUYO1 0.205 0 0.31 0 -0 0 130985622087211398
88 HOKUYO1 0.205 0 0.31 0 -0 0 130985622088221398
89 HOKUYO1 0.205 0 0.31 0 -0 0 130985622089231398
90 HOKUYO1 0.205 0 0.31 0 -0 0 130985622090241398
91 HOKUYO1 0.205 0 0.31 0 -0 0 130985622091241398
92 HOKUYO1 0.205 0 0.31 0 -0 0 130985622092251398
93 HOKUYO1 0.205 0 0.31 0 -0 0 130985622093261398
94 HOKUYO1 0.205 0 0.31 0 -0 0 130985622094271398
95 HOKUYO1 0.205 0 0.31 0 -0 0 130985622095281398
96 HOKUYO1 0.205 0 0.31 0 -0 0 130985622096291398
97 HOKUYO1 0.205 0 0.31 0 -0 0 130985622097291398
98 HOKUYO1 0.205 0 0.31 0 -0 0 130985622098301398
99 HOKUYO1 0.205 0 0.31 0 -0 0 130985622099311398
100 HOKUYO1 0.205 0 0.31 0 -0 0 130985622100321398
101 HOKUYO1 0.205 0 0.31 0 -0 0 130985622101331398
102 HOKUYO1 0.205 0 0.31 0 -0 0 130985622102331398
103 HOKUYO1 0.205 0 0.31 0 -0 0 130985622103341398
104 HOKUYO1 0.205 0 0.31 0 -0 0 130985622104351398
105 HOKUYO1 0.205 0 0.31 0 -0 0 130985622105361398
106 HOKUYO1 0.205 0 0.31 0 -0 0 130985622106371398
107 HOKUYO1 0.205 0 0.31 0 -0 0 130985622107381398
108 HOKUYO1 0.205 0 0.31 0 -0 0 130985622108381398
109 HOKUYO1 0.205 0 0.31 0 -0 0 130985622109391398
110 HOKUYO1 0.205 0 0.31 0 -0 0 130985622110401398
111 HOKUYO1 0.205 0 0.31 0 -0 0 130985622111411398
112 HOKUYO1 0.205 0 0.31 0 -0 0 130985622112421398
113 HOKUYO1 0.205 0 0.31 0 -0 0 130985622113421398
114 HOKUYO1 0.205 0 0.31 0 -0 0 130985622114431398
115 HOKUYO1 0.205 0 0.31 0 -0 0 130985622115441398
116 HOKUYO1 0.205 0 0.31 0 -0 0 130985622116451398
117 HOKUYO1 0.205 0 0.31 0 -0 0 130985622117461398
118 HOKUYO1 0.205 0 0.31 0 -0 0 130985622118471398
119 HOKUYO1 0.205 0 0.31 0 -0 0 130985622119471398
120 HOKUYO1 0.205 0 0.31 0 -0 0 130985622120481398
121 HOKUYO1 0.205 0 0.31 0 -0 0 130985622121491398
122 HOKUYO1 0.205 0 0.31 0 -0 0 130985622122501398
123 HOKUYO1 0.205 0 0.31 0 -0 0 130985622123511398
124 HOKUYO1 0.205 0 0.31 0 -0 0 130985622124511398
125 HOKUYO1 0.205 0 0.31 0 -0 0 130985622125521398
