# This file contains information about the (sequence of) observations in the directory with the same name. 
# Its format is: 
# [Observation_id] [sensor_label] [sensor_pose_x] [sensor_pose_y] [sensor_pose_z] [sensor_pose_yaw] [sensor_pose_pitch] [sensor_pose_roll] [time-stamp] 
# Units for the sensor pose are meters and radians. The tiem-stamp holds the the number of 100-nanosecond intervals since January 1, 1601 (UTC). 
1 HOKUYO1 0.205 0 0.31 0 -0 0 130986326255425248
2 HOKUYO1 0.205 0 0.31 0 -0 0 130986326256517250
3 HOKUYO1 0.205 0 0.31 0 -0 0 130986326257453252
4 HOKUYO1 0.205 0 0.31 0 -0 0 130986326258545253
5 HOKUYO1 0.205 0 0.31 0 -0 0 130986326259481255
6 HOKUYO1 0.205 0 0.31 0 -0 0 130986326260573257
7 HOKUYO1 0.205 0 0.31 0 -0 0 130986326261509259
8 HOKUYO1 0.205 0 0.31 0 -0 0 130986326262445260
9 HOKUYO1 0.205 0 0.31 0 -0 0 130986326263537262
10 HOKUYO1 0.205 0 0.31 0 -0 0 130986326264473264
11 HOKUYO1 0.205 0 0.31 0 -0 0 130986326265565266
12 HOKUYO1 0.205 0 0.31 0 -0 0 130986326266575266
13 HOKUYO1 0.205 0 0.31 0 -0 0 130986326267575266
14 HOKUYO1 0.205 0 0.31 0 -0 0 130986326268585266
15 HOKUYO1 0.205 0 0.31 0 -0 0 130986326269595266
16 HOKUYO1 0.205 0 0.31 0 -0 0 130986326270605266
17 HOKUYO1 0.205 0 0.31 0 -0 0 130986326271605266
18 HOKUYO1 0.205 0 0.31 0 -0 0 130986326272615266
19 HOKUYO1 0.205 0 0.31 0 -0 0 130986326273625266
20 HOKUYO1 0.205 0 0.31 0 -0 0 130986326274625266
21 HOKUYO1 0.205 0 0.31 0 -0 0 130986326275635266
22 HOKUYO1 0.205 0 0.31 0 -0 0 130986326276645266
23 HOKUYO1 0.205 0 0.31 0 -0 0 130986326277655266
24 HOKUYO1 0.205 0 0.31 0 -0 0 130986326278655266
25 HOKUYO1 0.205 0 0.31 0 -0 0 130986326279665266
26 HOKUYO1 0.205 0 0.31 0 -0 0 130986326280675266
27 HOKUYO1 0.205 0 0.31 0 -0 0 130986326281675266
28 HOKUYO1 0.205 0 0.31 0 -0 0 130986326282685266
29 HOKUYO1 0.205 0 0.31 0 -0 0 130986326283695266
30 HOKUYO1 0.205 0 0.31 0 -0 0 130986326284705266
31 HOKUYO1 0.205 0 0.31 0 -0 0 130986326285705266
32 HOKUYO1 0.205 0 0.31 0 -0 0 130986326286715266
33 HOKUYO1 0.205 0 0.31 0 -0 0 130986326287725266
34 HOKUYO1 0.205 0 0.31 0 -0 0 130986326288735266
35 HOKUYO1 0.205 0 0.31 0 -0 0 130986326289745266
36 HOKUYO1 0.205 0 0.31 0 -0 0 130986326290745266
37 HOKUYO1 0.205 0 0.31 0 -0 0 130986326291755266
38 HOKUYO1 0.205 0 0.31 0 -0 0 130986326292765266
39 HOKUYO1 0.205 0 0.31 0 -0 0 130986326293765266
40 HOKUYO1 0.205 0 0.31 0 -0 0 130986326294775266
41 HOKUYO1 0.205 0 0.31 0 -0 0 130986326295785266
42 HOKUYO1 0.205 0 0.31 0 -0 0 130986326296795266
43 HOKUYO1 0.205 0 0.31 0 -0 0 130986326297805266
44 HOKUYO1 0.205 0 0.31 0 -0 0 130986326298805266
45 HOKUYO1 0.205 0 0.31 0 -0 0 130986326299815266
46 HOKUYO1 0.205 0 0.31 0 -0 0 130986326300825266
