# This file contains information about the (sequence of) observations in the directory with the same name. 
# Its format is: 
# [Observation_id] [sensor_label] [sensor_pose_x] [sensor_pose_y] [sensor_pose_z] [sensor_pose_yaw] [sensor_pose_pitch] [sensor_pose_roll] [time-stamp] 
# Units for the sensor pose are meters and radians. The tiem-stamp holds the the number of 100-nanosecond intervals since January 1, 1601 (UTC). 
1 HOKUYO1 0.205 0 0.31 0 -0 0 130986262655197852
2 HOKUYO1 0.205 0 0.31 0 -0 0 130986262656289854
3 HOKUYO1 0.205 0 0.31 0 -0 0 130986262657225856
4 HOKUYO1 0.205 0 0.31 0 -0 0 130986262658317858
5 HOKUYO1 0.205 0 0.31 0 -0 0 130986262659253859
6 HOKUYO1 0.205 0 0.31 0 -0 0 130986262660189861
7 HOKUYO1 0.205 0 0.31 0 -0 0 130986262661281863
8 HOKUYO1 0.205 0 0.31 0 -0 0 130986262662217865
9 HOKUYO1 0.205 0 0.31 0 -0 0 130986262663309867
10 HOKUYO1 0.205 0 0.31 0 -0 0 130986262664245868
11 HOKUYO1 0.205 0 0.31 0 -0 0 130986262665337870
12 HOKUYO1 0.205 0 0.31 0 -0 0 130986262666337870
13 HOKUYO1 0.205 0 0.31 0 -0 0 130986262667347870
14 HOKUYO1 0.205 0 0.31 0 -0 0 130986262668357870
15 HOKUYO1 0.205 0 0.31 0 -0 0 130986262669367870
16 HOKUYO1 0.205 0 0.31 0 -0 0 130986262670377870
17 HOKUYO1 0.205 0 0.31 0 -0 0 130986262671377870
18 HOKUYO1 0.205 0 0.31 0 -0 0 130986262672387870
19 HOKUYO1 0.205 0 0.31 0 -0 0 130986262673397870
20 HOKUYO1 0.205 0 0.31 0 -0 0 130986262674397870
21 HOKUYO1 0.205 0 0.31 0 -0 0 130986262675407870
22 HOKUYO1 0.205 0 0.31 0 -0 0 130986262676417870
23 HOKUYO1 0.205 0 0.31 0 -0 0 130986262677417870
24 HOKUYO1 0.205 0 0.31 0 -0 0 130986262678427870
25 HOKUYO1 0.205 0 0.31 0 -0 0 130986262679437870
26 HOKUYO1 0.205 0 0.31 0 -0 0 130986262680447870
27 HOKUYO1 0.205 0 0.31 0 -0 0 130986262681447870
28 HOKUYO1 0.205 0 0.31 0 -0 0 130986262682457870
29 HOKUYO1 0.205 0 0.31 0 -0 0 130986262683467870
30 HOKUYO1 0.205 0 0.31 0 -0 0 130986262684477870
31 HOKUYO1 0.205 0 0.31 0 -0 0 130986262685477870
32 HOKUYO1 0.205 0 0.31 0 -0 0 130986262686487870
33 HOKUYO1 0.205 0 0.31 0 -0 0 130986262687497870
34 HOKUYO1 0.205 0 0.31 0 -0 0 130986262688497870
35 HOKUYO1 0.205 0 0.31 0 -0 0 130986262689507870
36 HOKUYO1 0.205 0 0.31 0 -0 0 130986262690517870
37 HOKUYO1 0.205 0 0.31 0 -0 0 130986262691517870
38 HOKUYO1 0.205 0 0.31 0 -0 0 130986262692527870
39 HOKUYO1 0.205 0 0.31 0 -0 0 130986262693537870
40 HOKUYO1 0.205 0 0.31 0 -0 0 130986262694547870
41 HOKUYO1 0.205 0 0.31 0 -0 0 130986262695547870
42 HOKUYO1 0.205 0 0.31 0 -0 0 130986262696557870
43 HOKUYO1 0.205 0 0.31 0 -0 0 130986262697567870
44 HOKUYO1 0.205 0 0.31 0 -0 0 130986262698567870
45 HOKUYO1 0.205 0 0.31 0 -0 0 130986262699577870
46 HOKUYO1 0.205 0 0.31 0 -0 0 130986262700587870
47 HOKUYO1 0.205 0 0.31 0 -0 0 130986262701587870
48 HOKUYO1 0.205 0 0.31 0 -0 0 130986262702597870
49 HOKUYO1 0.205 0 0.31 0 -0 0 130986262703607870
50 HOKUYO1 0.205 0 0.31 0 -0 0 130986262704607870
