# This file contains information about the (sequence of) observations in the directory with the same name. 
# Its format is: 
# [Observation_id] [sensor_label] [sensor_pose_x] [sensor_pose_y] [sensor_pose_z] [sensor_pose_yaw] [sensor_pose_pitch] [sensor_pose_roll] [time-stamp] 
# Units for the sensor pose are meters and radians. The tiem-stamp holds the the number of 100-nanosecond intervals since January 1, 1601 (UTC). 
1 HOKUYO1 0.205 0 0.31 0 -0 0 130985626476577242
2 HOKUYO1 0.205 0 0.31 0 -0 0 130985626477669244
3 HOKUYO1 0.205 0 0.31 0 -0 0 130985626478605245
4 HOKUYO1 0.205 0 0.31 0 -0 0 130985626479541247
5 HOKUYO1 0.205 0 0.31 0 -0 0 130985626480633249
6 HOKUYO1 0.205 0 0.31 0 -0 0 130985626481569250
7 HOKUYO1 0.205 0 0.31 0 -0 0 130985626482661252
8 HOKUYO1 0.205 0 0.31 0 -0 0 130985626483597254
9 HOKUYO1 0.205 0 0.31 0 -0 0 130985626484689256
10 HOKUYO1 0.205 0 0.31 0 -0 0 130985626485625258
11 HOKUYO1 0.205 0 0.31 0 -0 0 130985626486561259
12 HOKUYO1 0.205 0 0.31 0 -0 0 130985626487561259
13 HOKUYO1 0.205 0 0.31 0 -0 0 130985626488571259
14 HOKUYO1 0.205 0 0.31 0 -0 0 130985626489571259
15 HOKUYO1 0.205 0 0.31 0 -0 0 130985626490581259
16 HOKUYO1 0.205 0 0.31 0 -0 0 130985626491581259
17 HOKUYO1 0.205 0 0.31 0 -0 0 130985626492591259
18 HOKUYO1 0.205 0 0.31 0 -0 0 130985626493591259
19 HOKUYO1 0.205 0 0.31 0 -0 0 130985626494601259
20 HOKUYO1 0.205 0 0.31 0 -0 0 130985626495601259
21 HOKUYO1 0.205 0 0.31 0 -0 0 130985626496611259
22 HOKUYO1 0.205 0 0.31 0 -0 0 130985626497611259
23 HOKUYO1 0.205 0 0.31 0 -0 0 130985626498611259
24 HOKUYO1 0.205 0 0.31 0 -0 0 130985626499621259
25 HOKUYO1 0.205 0 0.31 0 -0 0 130985626500621259
26 HOKUYO1 0.205 0 0.31 0 -0 0 130985626501631259
27 HOKUYO1 0.205 0 0.31 0 -0 0 130985626502631259
28 HOKUYO1 0.205 0 0.31 0 -0 0 130985626503641259
29 HOKUYO1 0.205 0 0.31 0 -0 0 130985626504641259
30 HOKUYO1 0.205 0 0.31 0 -0 0 130985626505651259
31 HOKUYO1 0.205 0 0.31 0 -0 0 130985626506651259
32 HOKUYO1 0.205 0 0.31 0 -0 0 130985626507661259
33 HOKUYO1 0.205 0 0.31 0 -0 0 130985626508661259
34 HOKUYO1 0.205 0 0.31 0 -0 0 130985626509671259
35 HOKUYO1 0.205 0 0.31 0 -0 0 130985626510671259
36 HOKUYO1 0.205 0 0.31 0 -0 0 130985626511671259
37 HOKUYO1 0.205 0 0.31 0 -0 0 130985626512681259
38 HOKUYO1 0.205 0 0.31 0 -0 0 130985626513681259
39 HOKUYO1 0.205 0 0.31 0 -0 0 130985626514691259
40 HOKUYO1 0.205 0 0.31 0 -0 0 130985626515691259
41 HOKUYO1 0.205 0 0.31 0 -0 0 130985626516701259
42 HOKUYO1 0.205 0 0.31 0 -0 0 130985626517701259
43 HOKUYO1 0.205 0 0.31 0 -0 0 130985626518711259
44 HOKUYO1 0.205 0 0.31 0 -0 0 130985626519711259
45 HOKUYO1 0.205 0 0.31 0 -0 0 130985626520721259
46 HOKUYO1 0.205 0 0.31 0 -0 0 130985626521721259
47 HOKUYO1 0.205 0 0.31 0 -0 0 130985626522731259
48 HOKUYO1 0.205 0 0.31 0 -0 0 130985626523731259
49 HOKUYO1 0.205 0 0.31 0 -0 0 130985626524741259
50 HOKUYO1 0.205 0 0.31 0 -0 0 130985626525741259
51 HOKUYO1 0.205 0 0.31 0 -0 0 130985626526751259
52 HOKUYO1 0.205 0 0.31 0 -0 0 130985626527761259
53 HOKUYO1 0.205 0 0.31 0 -0 0 130985626528761259
54 HOKUYO1 0.205 0 0.31 0 -0 0 130985626529771259
55 HOKUYO1 0.205 0 0.31 0 -0 0 130985626530771259
56 HOKUYO1 0.205 0 0.31 0 -0 0 130985626531781259
57 HOKUYO1 0.205 0 0.31 0 -0 0 130985626532781259
58 HOKUYO1 0.205 0 0.31 0 -0 0 130985626533791259
59 HOKUYO1 0.205 0 0.31 0 -0 0 130985626534791259
60 HOKUYO1 0.205 0 0.31 0 -0 0 130985626535801259
61 HOKUYO1 0.205 0 0.31 0 -0 0 130985626536801259
62 HOKUYO1 0.205 0 0.31 0 -0 0 130985626537811259
63 HOKUYO1 0.205 0 0.31 0 -0 0 130985626538811259
64 HOKUYO1 0.205 0 0.31 0 -0 0 130985626539821259
65 HOKUYO1 0.205 0 0.31 0 -0 0 130985626540821259
66 HOKUYO1 0.205 0 0.31 0 -0 0 130985626541831259
67 HOKUYO1 0.205 0 0.31 0 -0 0 130985626542831259
68 HOKUYO1 0.205 0 0.31 0 -0 0 130985626543841259
69 HOKUYO1 0.205 0 0.31 0 -0 0 130985626544851259
70 HOKUYO1 0.205 0 0.31 0 -0 0 130985626545851259
71 HOKUYO1 0.205 0 0.31 0 -0 0 130985626546851259
72 HOKUYO1 0.205 0 0.31 0 -0 0 130985626547861259
73 HOKUYO1 0.205 0 0.31 0 -0 0 130985626548861259
74 HOKUYO1 0.205 0 0.31 0 -0 0 130985626549871259
75 HOKUYO1 0.205 0 0.31 0 -0 0 130985626550871259
76 HOKUYO1 0.205 0 0.31 0 -0 0 130985626551881259
77 HOKUYO1 0.205 0 0.31 0 -0 0 130985626552881259
78 HOKUYO1 0.205 0 0.31 0 -0 0 130985626553891259
79 HOKUYO1 0.205 0 0.31 0 -0 0 130985626554891259
80 HOKUYO1 0.205 0 0.31 0 -0 0 130985626555901259
81 HOKUYO1 0.205 0 0.31 0 -0 0 130985626556901259
82 HOKUYO1 0.205 0 0.31 0 -0 0 130985626557911259
83 HOKUYO1 0.205 0 0.31 0 -0 0 130985626558911259
84 HOKUYO1 0.205 0 0.31 0 -0 0 130985626559921259
85 HOKUYO1 0.205 0 0.31 0 -0 0 130985626560921259
86 HOKUYO1 0.205 0 0.31 0 -0 0 130985626561931259
87 HOKUYO1 0.205 0 0.31 0 -0 0 130985626562931259
88 HOKUYO1 0.205 0 0.31 0 -0 0 130985626563941259
89 HOKUYO1 0.205 0 0.31 0 -0 0 130985626564941259
90 HOKUYO1 0.205 0 0.31 0 -0 0 130985626565951259
91 HOKUYO1 0.205 0 0.31 0 -0 0 130985626566961259
92 HOKUYO1 0.205 0 0.31 0 -0 0 130985626567961259
93 HOKUYO1 0.205 0 0.31 0 -0 0 130985626568971259
94 HOKUYO1 0.205 0 0.31 0 -0 0 130985626569971259
95 HOKUYO1 0.205 0 0.31 0 -0 0 130985626570981259
96 HOKUYO1 0.205 0 0.31 0 -0 0 130985626571981259
97 HOKUYO1 0.205 0 0.31 0 -0 0 130985626572981259
98 HOKUYO1 0.205 0 0.31 0 -0 0 130985626573991259
99 HOKUYO1 0.205 0 0.31 0 -0 0 130985626575001259
100 HOKUYO1 0.205 0 0.31 0 -0 0 130985626576001259
101 HOKUYO1 0.205 0 0.31 0 -0 0 130985626577011259
102 HOKUYO1 0.205 0 0.31 0 -0 0 130985626578011259
103 HOKUYO1 0.205 0 0.31 0 -0 0 130985626579021259
104 HOKUYO1 0.205 0 0.31 0 -0 0 130985626580031259
105 HOKUYO1 0.205 0 0.31 0 -0 0 130985626581031259
106 HOKUYO1 0.205 0 0.31 0 -0 0 130985626582041259
107 HOKUYO1 0.205 0 0.31 0 -0 0 130985626583041259
108 HOKUYO1 0.205 0 0.31 0 -0 0 130985626584051259
109 HOKUYO1 0.205 0 0.31 0 -0 0 130985626585051259
110 HOKUYO1 0.205 0 0.31 0 -0 0 130985626586061259
111 HOKUYO1 0.205 0 0.31 0 -0 0 130985626587071259
112 HOKUYO1 0.205 0 0.31 0 -0 0 130985626588071259
113 HOKUYO1 0.205 0 0.31 0 -0 0 130985626589071259
114 HOKUYO1 0.205 0 0.31 0 -0 0 130985626590081259
115 HOKUYO1 0.205 0 0.31 0 -0 0 130985626591081259
116 HOKUYO1 0.205 0 0.31 0 -0 0 130985626592091259
117 HOKUYO1 0.205 0 0.31 0 -0 0 130985626593091259
118 HOKUYO1 0.205 0 0.31 0 -0 0 130985626594101259
119 HOKUYO1 0.205 0 0.31 0 -0 0 130985626595101259
120 HOKUYO1 0.205 0 0.31 0 -0 0 130985626596111259
121 HOKUYO1 0.205 0 0.31 0 -0 0 130985626597111259
122 HOKUYO1 0.205 0 0.31 0 -0 0 130985626598121259
123 HOKUYO1 0.205 0 0.31 0 -0 0 130985626599121259
124 HOKUYO1 0.205 0 0.31 0 -0 0 130985626600131259
125 HOKUYO1 0.205 0 0.31 0 -0 0 130985626601131259
126 HOKUYO1 0.205 0 0.31 0 -0 0 130985626602141259
127 HOKUYO1 0.205 0 0.31 0 -0 0 130985626603141259
128 HOKUYO1 0.205 0 0.31 0 -0 0 130985626604151259
129 HOKUYO1 0.205 0 0.31 0 -0 0 130985626605151259
130 HOKUYO1 0.205 0 0.31 0 -0 0 130985626606161259
131 HOKUYO1 0.205 0 0.31 0 -0 0 130985626607161259
132 HOKUYO1 0.205 0 0.31 0 -0 0 130985626608171259
133 HOKUYO1 0.205 0 0.31 0 -0 0 130985626609171259
134 HOKUYO1 0.205 0 0.31 0 -0 0 130985626610181259
135 HOKUYO1 0.205 0 0.31 0 -0 0 130985626611181259
136 HOKUYO1 0.205 0 0.31 0 -0 0 130985626612191259
137 HOKUYO1 0.205 0 0.31 0 -0 0 130985626613191259
138 HOKUYO1 0.205 0 0.31 0 -0 0 130985626614201259
139 HOKUYO1 0.205 0 0.31 0 -0 0 130985626615211259
140 HOKUYO1 0.205 0 0.31 0 -0 0 130985626616211259
141 HOKUYO1 0.205 0 0.31 0 -0 0 130985626617221259
142 HOKUYO1 0.205 0 0.31 0 -0 0 130985626618221259
143 HOKUYO1 0.205 0 0.31 0 -0 0 130985626619231259
144 HOKUYO1 0.205 0 0.31 0 -0 0 130985626620241259
145 HOKUYO1 0.205 0 0.31 0 -0 0 130985626621241259
146 HOKUYO1 0.205 0 0.31 0 -0 0 130985626622251259
147 HOKUYO1 0.205 0 0.31 0 -0 0 130985626623251259
148 HOKUYO1 0.205 0 0.31 0 -0 0 130985626624261259
149 HOKUYO1 0.205 0 0.31 0 -0 0 130985626625261259
150 HOKUYO1 0.205 0 0.31 0 -0 0 130985626626261259
