# This file contains information about the (sequence of) observations in the directory with the same name. 
# Its format is: 
# [Observation_id] [sensor_label] [sensor_pose_x] [sensor_pose_y] [sensor_pose_z] [sensor_pose_yaw] [sensor_pose_pitch] [sensor_pose_roll] [time-stamp] 
# Units for the sensor pose are meters and radians. The tiem-stamp holds the the number of 100-nanosecond intervals since January 1, 1601 (UTC). 
1 HOKUYO1 0.205 0 0.31 0 -0 0 130984512045685569
2 HOKUYO1 0.205 0 0.31 0 -0 0 130984512046621570
3 HOKUYO1 0.205 0 0.31 0 -0 0 130984512047713572
4 HOKUYO1 0.205 0 0.31 0 -0 0 130984512048649574
5 HOKUYO1 0.205 0 0.31 0 -0 0 130984512049741576
6 HOKUYO1 0.205 0 0.31 0 -0 0 130984512050677577
7 HOKUYO1 0.205 0 0.31 0 -0 0 130984512051613579
8 HOKUYO1 0.205 0 0.31 0 -0 0 130984512052705581
9 HOKUYO1 0.205 0 0.31 0 -0 0 130984512053641583
10 HOKUYO1 0.205 0 0.31 0 -0 0 130984512054733584
11 HOKUYO1 0.205 0 0.31 0 -0 0 130984512055669586
12 HOKUYO1 0.205 0 0.31 0 -0 0 130984512056669586
13 HOKUYO1 0.205 0 0.31 0 -0 0 130984512057669586
14 HOKUYO1 0.205 0 0.31 0 -0 0 130984512058669586
15 HOKUYO1 0.205 0 0.31 0 -0 0 130984512059669586
16 HOKUYO1 0.205 0 0.31 0 -0 0 130984512060679586
17 HOKUYO1 0.205 0 0.31 0 -0 0 130984512061679586
18 HOKUYO1 0.205 0 0.31 0 -0 0 130984512062679586
19 HOKUYO1 0.205 0 0.31 0 -0 0 130984512063679586
20 HOKUYO1 0.205 0 0.31 0 -0 0 130984512064679586
21 HOKUYO1 0.205 0 0.31 0 -0 0 130984512065679586
22 HOKUYO1 0.205 0 0.31 0 -0 0 130984512066679586
23 HOKUYO1 0.205 0 0.31 0 -0 0 130984512067679586
24 HOKUYO1 0.205 0 0.31 0 -0 0 130984512068679586
25 HOKUYO1 0.205 0 0.31 0 -0 0 130984512069679586
26 HOKUYO1 0.205 0 0.31 0 -0 0 130984512070679586
27 HOKUYO1 0.205 0 0.31 0 -0 0 130984512071689586
28 HOKUYO1 0.205 0 0.31 0 -0 0 130984512072689586
29 HOKUYO1 0.205 0 0.31 0 -0 0 130984512073689586
30 HOKUYO1 0.205 0 0.31 0 -0 0 130984512074689586
31 HOKUYO1 0.205 0 0.31 0 -0 0 130984512075689586
32 HOKUYO1 0.205 0 0.31 0 -0 0 130984512076689586
33 HOKUYO1 0.205 0 0.31 0 -0 0 130984512077689586
34 HOKUYO1 0.205 0 0.31 0 -0 0 130984512078689586
35 HOKUYO1 0.205 0 0.31 0 -0 0 130984512079689586
36 HOKUYO1 0.205 0 0.31 0 -0 0 130984512080699586
37 HOKUYO1 0.205 0 0.31 0 -0 0 130984512081699586
38 HOKUYO1 0.205 0 0.31 0 -0 0 130984512082699586
39 HOKUYO1 0.205 0 0.31 0 -0 0 130984512083699586
40 HOKUYO1 0.205 0 0.31 0 -0 0 130984512084699586
41 HOKUYO1 0.205 0 0.31 0 -0 0 130984512085699586
42 HOKUYO1 0.205 0 0.31 0 -0 0 130984512086699586
43 HOKUYO1 0.205 0 0.31 0 -0 0 130984512087699586
44 HOKUYO1 0.205 0 0.31 0 -0 0 130984512088709586
45 HOKUYO1 0.205 0 0.31 0 -0 0 130984512089709586
46 HOKUYO1 0.205 0 0.31 0 -0 0 130984512090709586
