# This file contains information about the (sequence of) observations in the directory with the same name. 
# Its format is: 
# [Observation_id] [sensor_label] [sensor_pose_x] [sensor_pose_y] [sensor_pose_z] [sensor_pose_yaw] [sensor_pose_pitch] [sensor_pose_roll] [time-stamp] 
# Units for the sensor pose are meters and radians. The tiem-stamp holds the the number of 100-nanosecond intervals since January 1, 1601 (UTC). 
1 HOKUYO1 0.205 0 0.31 0 -0 0 130489418652833895
2 HOKUYO1 0.205 0 0.31 0 -0 0 130489418660903895
3 HOKUYO1 0.205 0 0.31 0 -0 0 130489418668973895
4 HOKUYO1 0.205 0 0.31 0 -0 0 130489418677033895
5 HOKUYO1 0.205 0 0.31 0 -0 0 130489418685103895
6 HOKUYO1 0.205 0 0.31 0 -0 0 130489418693173895
7 HOKUYO1 0.205 0 0.31 0 -0 0 130489418701233895
8 HOKUYO1 0.205 0 0.31 0 -0 0 130489418709293895
9 HOKUYO1 0.205 0 0.31 0 -0 0 130489418717363895
10 HOKUYO1 0.205 0 0.31 0 -0 0 130489418725423895
11 HOKUYO1 0.205 0 0.31 0 -0 0 130489418733483895
12 HOKUYO1 0.205 0 0.31 0 -0 0 130489418741543895
13 HOKUYO1 0.205 0 0.31 0 -0 0 130489418749613895
14 HOKUYO1 0.205 0 0.31 0 -0 0 130489418757673895
15 HOKUYO1 0.205 0 0.31 0 -0 0 130489418765743895
16 HOKUYO1 0.205 0 0.31 0 -0 0 130489418773803895
17 HOKUYO1 0.205 0 0.31 0 -0 0 130489418781863895
18 HOKUYO1 0.205 0 0.31 0 -0 0 130489418789933895
19 HOKUYO1 0.205 0 0.31 0 -0 0 130489418797993895
20 HOKUYO1 0.205 0 0.31 0 -0 0 130489418806053895
21 HOKUYO1 0.205 0 0.31 0 -0 0 130489418814123895
22 HOKUYO1 0.205 0 0.31 0 -0 0 130489418822183895
23 HOKUYO1 0.205 0 0.31 0 -0 0 130489418830253895
24 HOKUYO1 0.205 0 0.31 0 -0 0 130489418838313895
25 HOKUYO1 0.205 0 0.31 0 -0 0 130489418846383895
26 HOKUYO1 0.205 0 0.31 0 -0 0 130489418854453895
27 HOKUYO1 0.205 0 0.31 0 -0 0 130489418862513895
28 HOKUYO1 0.205 0 0.31 0 -0 0 130489418870583895
29 HOKUYO1 0.205 0 0.31 0 -0 0 130489418878643895
30 HOKUYO1 0.205 0 0.31 0 -0 0 130489418886713895
31 HOKUYO1 0.205 0 0.31 0 -0 0 130489418894773895
32 HOKUYO1 0.205 0 0.31 0 -0 0 130489418902833895
33 HOKUYO1 0.205 0 0.31 0 -0 0 130489418910903895
34 HOKUYO1 0.205 0 0.31 0 -0 0 130489418918973895
35 HOKUYO1 0.205 0 0.31 0 -0 0 130489418927033895
36 HOKUYO1 0.205 0 0.31 0 -0 0 130489418935103895
37 HOKUYO1 0.205 0 0.31 0 -0 0 130489418943163895
38 HOKUYO1 0.205 0 0.31 0 -0 0 130489418951223895
39 HOKUYO1 0.205 0 0.31 0 -0 0 130489418959293895
40 HOKUYO1 0.205 0 0.31 0 -0 0 130489418967353895
41 HOKUYO1 0.205 0 0.31 0 -0 0 130489418975413895
42 HOKUYO1 0.205 0 0.31 0 -0 0 130489418983483895
43 HOKUYO1 0.205 0 0.31 0 -0 0 130489418991553895
44 HOKUYO1 0.205 0 0.31 0 -0 0 130489418999613895
45 HOKUYO1 0.205 0 0.31 0 -0 0 130489419007673895
46 HOKUYO1 0.205 0 0.31 0 -0 0 130489419015743895
47 HOKUYO1 0.205 0 0.31 0 -0 0 130489419023813895
48 HOKUYO1 0.205 0 0.31 0 -0 0 130489419031873895
49 HOKUYO1 0.205 0 0.31 0 -0 0 130489419039943895
50 HOKUYO1 0.205 0 0.31 0 -0 0 130489419048003895
51 HOKUYO1 0.205 0 0.31 0 -0 0 130489419056073895
52 HOKUYO1 0.205 0 0.31 0 -0 0 130489419064133895
53 HOKUYO1 0.205 0 0.31 0 -0 0 130489419072193895
54 HOKUYO1 0.205 0 0.31 0 -0 0 130489419080263895
55 HOKUYO1 0.205 0 0.31 0 -0 0 130489419088323895
56 HOKUYO1 0.205 0 0.31 0 -0 0 130489419096383895
57 HOKUYO1 0.205 0 0.31 0 -0 0 130489419104453895
58 HOKUYO1 0.205 0 0.31 0 -0 0 130489419112513895
59 HOKUYO1 0.205 0 0.31 0 -0 0 130489419120573895
60 HOKUYO1 0.205 0 0.31 0 -0 0 130489419128643895
61 HOKUYO1 0.205 0 0.31 0 -0 0 130489419136703895
62 HOKUYO1 0.205 0 0.31 0 -0 0 130489419144773895
63 HOKUYO1 0.205 0 0.31 0 -0 0 130489419152843895
64 HOKUYO1 0.205 0 0.31 0 -0 0 130489419160903895
65 HOKUYO1 0.205 0 0.31 0 -0 0 130489419168963895
66 HOKUYO1 0.205 0 0.31 0 -0 0 130489419177033895
67 HOKUYO1 0.205 0 0.31 0 -0 0 130489419185093895
68 HOKUYO1 0.205 0 0.31 0 -0 0 130489419193163895
69 HOKUYO1 0.205 0 0.31 0 -0 0 130489419201223895
70 HOKUYO1 0.205 0 0.31 0 -0 0 130489419209293895
71 HOKUYO1 0.205 0 0.31 0 -0 0 130489419217363895
