# This file contains information about the (sequence of) observations in the directory with the same name. 
# Its format is: 
# [Observation_id] [sensor_label] [sensor_pose_x] [sensor_pose_y] [sensor_pose_z] [sensor_pose_yaw] [sensor_pose_pitch] [sensor_pose_roll] [time-stamp] 
# Units for the sensor pose are meters and radians. The tiem-stamp holds the the number of 100-nanosecond intervals since January 1, 1601 (UTC). 
1 HOKUYO1 0.205 0 0.31 0 -0 0 130488656816168258
2 HOKUYO1 0.205 0 0.31 0 -0 0 130488656824238258
3 HOKUYO1 0.205 0 0.31 0 -0 0 130488656832308258
4 HOKUYO1 0.205 0 0.31 0 -0 0 130488656840378258
5 HOKUYO1 0.205 0 0.31 0 -0 0 130488656848448258
6 HOKUYO1 0.205 0 0.31 0 -0 0 130488656856518258
7 HOKUYO1 0.205 0 0.31 0 -0 0 130488656864588258
8 HOKUYO1 0.205 0 0.31 0 -0 0 130488656872658258
9 HOKUYO1 0.205 0 0.31 0 -0 0 130488656880738258
10 HOKUYO1 0.205 0 0.31 0 -0 0 130488656888808258
11 HOKUYO1 0.205 0 0.31 0 -0 0 130488656896878258
12 HOKUYO1 0.205 0 0.31 0 -0 0 130488656904938258
13 HOKUYO1 0.205 0 0.31 0 -0 0 130488656913018258
14 HOKUYO1 0.205 0 0.31 0 -0 0 130488656921088258
15 HOKUYO1 0.205 0 0.31 0 -0 0 130488656929158258
16 HOKUYO1 0.205 0 0.31 0 -0 0 130488656937228258
17 HOKUYO1 0.205 0 0.31 0 -0 0 130488656945298258
18 HOKUYO1 0.205 0 0.31 0 -0 0 130488656953378258
19 HOKUYO1 0.205 0 0.31 0 -0 0 130488656961448258
20 HOKUYO1 0.205 0 0.31 0 -0 0 130488656969518258
21 HOKUYO1 0.205 0 0.31 0 -0 0 130488656977598258
22 HOKUYO1 0.205 0 0.31 0 -0 0 130488656985658258
23 HOKUYO1 0.205 0 0.31 0 -0 0 130488656993728258
24 HOKUYO1 0.205 0 0.31 0 -0 0 130488657001798258
25 HOKUYO1 0.205 0 0.31 0 -0 0 130488657009868258
26 HOKUYO1 0.205 0 0.31 0 -0 0 130488657017948258
27 HOKUYO1 0.205 0 0.31 0 -0 0 130488657026018258
28 HOKUYO1 0.205 0 0.31 0 -0 0 130488657034088258
29 HOKUYO1 0.205 0 0.31 0 -0 0 130488657042158258
30 HOKUYO1 0.205 0 0.31 0 -0 0 130488657050228258
31 HOKUYO1 0.205 0 0.31 0 -0 0 130488657058298258
32 HOKUYO1 0.205 0 0.31 0 -0 0 130488657066368258
33 HOKUYO1 0.205 0 0.31 0 -0 0 130488657074438258
34 HOKUYO1 0.205 0 0.31 0 -0 0 130488657082508258
35 HOKUYO1 0.205 0 0.31 0 -0 0 130488657090578258
36 HOKUYO1 0.205 0 0.31 0 -0 0 130488657098658258
37 HOKUYO1 0.205 0 0.31 0 -0 0 130488657106728258
38 HOKUYO1 0.205 0 0.31 0 -0 0 130488657114798258
39 HOKUYO1 0.205 0 0.31 0 -0 0 130488657122868258
40 HOKUYO1 0.205 0 0.31 0 -0 0 130488657130938258
41 HOKUYO1 0.205 0 0.31 0 -0 0 130488657139008258
42 HOKUYO1 0.205 0 0.31 0 -0 0 130488657147078258
43 HOKUYO1 0.205 0 0.31 0 -0 0 130488657155148258
44 HOKUYO1 0.205 0 0.31 0 -0 0 130488657163228258
45 HOKUYO1 0.205 0 0.31 0 -0 0 130488657171298258
46 HOKUYO1 0.205 0 0.31 0 -0 0 130488657179368258
47 HOKUYO1 0.205 0 0.31 0 -0 0 130488657187438258
48 HOKUYO1 0.205 0 0.31 0 -0 0 130488657195508258
49 HOKUYO1 0.205 0 0.31 0 -0 0 130488657203578258
50 HOKUYO1 0.205 0 0.31 0 -0 0 130488657211638258
51 HOKUYO1 0.205 0 0.31 0 -0 0 130488657219708258
52 HOKUYO1 0.205 0 0.31 0 -0 0 130488657227768258
53 HOKUYO1 0.205 0 0.31 0 -0 0 130488657235838258
54 HOKUYO1 0.205 0 0.31 0 -0 0 130488657243898258
55 HOKUYO1 0.205 0 0.31 0 -0 0 130488657251968258
56 HOKUYO1 0.205 0 0.31 0 -0 0 130488657260028258
57 HOKUYO1 0.205 0 0.31 0 -0 0 130488657268088258
