# This file contains information about the (sequence of) observations in the directory with the same name. 
# Its format is: 
# [Observation_id] [sensor_label] [sensor_pose_x] [sensor_pose_y] [sensor_pose_z] [sensor_pose_yaw] [sensor_pose_pitch] [sensor_pose_roll] [time-stamp] 
# Units for the sensor pose are meters and radians. The tiem-stamp holds the the number of 100-nanosecond intervals since January 1, 1601 (UTC). 
1 RGBD_1 0 0 0 0 -0 0 130986328465013129
2 RGBD_1 0 0 0 0 -0 0 130986328465949131
3 RGBD_1 0 0 0 0 -0 0 130986328466885132
4 RGBD_1 0 0 0 0 -0 0 130986328467821134
5 RGBD_1 0 0 0 0 -0 0 130986328468757136
6 RGBD_1 0 0 0 0 -0 0 130986328469693137
7 RGBD_1 0 0 0 0 -0 0 130986328470629139
8 RGBD_1 0 0 0 0 -0 0 130986328471565140
9 RGBD_1 0 0 0 0 -0 0 130986328472501142
10 RGBD_2 0 0 0 0 -0 0 130986328473125143
11 RGBD_1 0 0 0 0 -0 0 130986328473437144
12 RGBD_2 0 0 0 0 -0 0 130986328474061145
13 RGBD_1 0 0 0 0 -0 0 130986328474373145
14 RGBD_2 0 0 0 0 -0 0 130986328474997146
15 RGBD_1 0 0 0 0 -0 0 130986328475309147
16 RGBD_2 0 0 0 0 -0 0 130986328475933148
17 RGBD_1 0 0 0 0 -0 0 130986328476245149
18 RGBD_2 0 0 0 0 -0 0 130986328476869150
19 RGBD_1 0 0 0 0 -0 0 130986328477181150
20 RGBD_2 0 0 0 0 -0 0 130986328477805151
21 RGBD_1 0 0 0 0 -0 0 130986328478117152
22 RGBD_2 0 0 0 0 -0 0 130986328478741153
23 RGBD_1 0 0 0 0 -0 0 130986328479053154
24 RGBD_2 0 0 0 0 -0 0 130986328479677155
25 RGBD_1 0 0 0 0 -0 0 130986328479989155
26 RGBD_2 0 0 0 0 -0 0 130986328480613156
27 RGBD_1 0 0 0 0 -0 0 130986328480925157
28 RGBD_2 0 0 0 0 -0 0 130986328481549158
29 RGBD_1 0 0 0 0 -0 0 130986328481861159
30 RGBD_2 0 0 0 0 -0 0 130986328482485160
31 RGBD_1 0 0 0 0 -0 0 130986328482797160
32 RGBD_3 0 0 0 0 -0 0 130986328483421161
33 RGBD_2 0 0 0 0 -0 0 130986328483421161
34 RGBD_1 0 0 0 0 -0 0 130986328483733162
35 RGBD_2 0 0 0 0 -0 0 130986328484357163
36 RGBD_3 0 0 0 0 -0 0 130986328484357163
37 RGBD_1 0 0 0 0 -0 0 130986328484669163
38 RGBD_3 0 0 0 0 -0 0 130986328485293165
39 RGBD_2 0 0 0 0 -0 0 130986328485293165
40 RGBD_1 0 0 0 0 -0 0 130986328485605165
41 RGBD_2 0 0 0 0 -0 0 130986328486229166
42 RGBD_3 0 0 0 0 -0 0 130986328486229166
43 RGBD_1 0 0 0 0 -0 0 130986328486541167
44 RGBD_3 0 0 0 0 -0 0 130986328487165168
45 RGBD_2 0 0 0 0 -0 0 130986328487165168
